====================================================================================
|  #  |    SYMBOL    |      TYPE      |                VALUE                | LINE |
|=====|==============|================|=====================================|======|
|  1  |         name |        Program |                                name |    1 |
|  2  |              |    ProgramName |                    _spkursovaprogr1 |    1 |
|  3  |            ; |      Semicolon |                                   ; |    1 |
|  4  |         body |          Start |                                body |    2 |
|  5  |         data |           Vars |                                data |    3 |
|  6  |  integer16_t |        VarType |                         integer16_t |    3 |
|  7  |              |     Identifier |                    _aaaaaaaaaaaaaaa |    3 |
|  8  |            , |          Comma |                                   , |    3 |
|  9  |              |     Identifier |                    _bbbbbbbbbbbbbbb |    3 |
|  10 |            , |          Comma |                                   , |    3 |
|  11 |              |     Identifier |                    _xxxxxxxxxxxxxxx |    3 |
|  12 |            , |          Comma |                                   , |    3 |
|  13 |              |     Identifier |                    _yyyyyyyyyyyyyyy |    3 |
|  14 |            ; |      Semicolon |                                   ; |    3 |
|  15 |        write |          Write |                               write |    4 |
|  16 |            ( |        LBraket |                                   ( |    4 |
|  17 |              |         String |                           Input A:  |    4 |
|  18 |            ) |        RBraket |                                   ) |    4 |
|  19 |            ; |      Semicolon |                                   ; |    4 |
|  20 |         read |           Read |                                read |    5 |
|  21 |            ( |        LBraket |                                   ( |    5 |
|  22 |              |     Identifier |                    _aaaaaaaaaaaaaaa |    5 |
|  23 |            ) |        RBraket |                                   ) |    5 |
|  24 |            ; |      Semicolon |                                   ; |    5 |
|  25 |        write |          Write |                               write |    6 |
|  26 |            ( |        LBraket |                                   ( |    6 |
|  27 |              |         String |                           Input B:  |    6 |
|  28 |            ) |        RBraket |                                   ) |    6 |
|  29 |            ; |      Semicolon |                                   ; |    6 |
|  30 |         read |           Read |                                read |    7 |
|  31 |            ( |        LBraket |                                   ( |    7 |
|  32 |              |     Identifier |                    _bbbbbbbbbbbbbbb |    7 |
|  33 |            ) |        RBraket |                                   ) |    7 |
|  34 |            ; |      Semicolon |                                   ; |    7 |
|  35 |        write |          Write |                               write |    8 |
|  36 |            ( |        LBraket |                                   ( |    8 |
|  37 |              |         String |                             A + B:  |    8 |
|  38 |            ) |        RBraket |                                   ) |    8 |
|  39 |            ; |      Semicolon |                                   ; |    8 |
|  40 |        write |          Write |                               write |    9 |
|  41 |            ( |        LBraket |                                   ( |    9 |
|  42 |              |     Identifier |                    _aaaaaaaaaaaaaaa |    9 |
|  43 |          add |       Addition |                                 add |    9 |
|  44 |              |     Identifier |                    _bbbbbbbbbbbbbbb |    9 |
|  45 |            ) |        RBraket |                                   ) |    9 |
|  46 |            ; |      Semicolon |                                   ; |    9 |
|  47 |        write |          Write |                               write |   10 |
|  48 |            ( |        LBraket |                                   ( |   10 |
|  49 |              |         String |                           \nA - B:  |   10 |
|  50 |            ) |        RBraket |                                   ) |   10 |
|  51 |            ; |      Semicolon |                                   ; |   10 |
|  52 |        write |          Write |                               write |   11 |
|  53 |            ( |        LBraket |                                   ( |   11 |
|  54 |              |     Identifier |                    _aaaaaaaaaaaaaaa |   11 |
|  55 |          sub |    Subtraction |                                 sub |   11 |
|  56 |              |     Identifier |                    _bbbbbbbbbbbbbbb |   11 |
|  57 |            ) |        RBraket |                                   ) |   11 |
|  58 |            ; |      Semicolon |                                   ; |   11 |
|  59 |        write |          Write |                               write |   12 |
|  60 |            ( |        LBraket |                                   ( |   12 |
|  61 |              |         String |                           \nA * B:  |   12 |
|  62 |            ) |        RBraket |                                   ) |   12 |
|  63 |            ; |      Semicolon |                                   ; |   12 |
|  64 |        write |          Write |                               write |   13 |
|  65 |            ( |        LBraket |                                   ( |   13 |
|  66 |              |     Identifier |                    _aaaaaaaaaaaaaaa |   13 |
|  67 |            * | Multiplication |                                   * |   13 |
|  68 |              |     Identifier |                    _bbbbbbbbbbbbbbb |   13 |
|  69 |            ) |        RBraket |                                   ) |   13 |
|  70 |            ; |      Semicolon |                                   ; |   13 |
|  71 |        write |          Write |                               write |   14 |
|  72 |            ( |        LBraket |                                   ( |   14 |
|  73 |              |         String |                           \nA / B:  |   14 |
|  74 |            ) |        RBraket |                                   ) |   14 |
|  75 |            ; |      Semicolon |                                   ; |   14 |
|  76 |        write |          Write |                               write |   15 |
|  77 |            ( |        LBraket |                                   ( |   15 |
|  78 |              |     Identifier |                    _aaaaaaaaaaaaaaa |   15 |
|  79 |            / |       Division |                                   / |   15 |
|  80 |              |     Identifier |                    _bbbbbbbbbbbbbbb |   15 |
|  81 |            ) |        RBraket |                                   ) |   15 |
|  82 |            ; |      Semicolon |                                   ; |   15 |
|  83 |        write |          Write |                               write |   16 |
|  84 |            ( |        LBraket |                                   ( |   16 |
|  85 |              |         String |                           \nA % B:  |   16 |
|  86 |            ) |        RBraket |                                   ) |   16 |
|  87 |            ; |      Semicolon |                                   ; |   16 |
|  88 |        write |          Write |                               write |   17 |
|  89 |            ( |        LBraket |                                   ( |   17 |
|  90 |              |     Identifier |                    _aaaaaaaaaaaaaaa |   17 |
|  91 |            % |            Mod |                                   % |   17 |
|  92 |              |     Identifier |                    _bbbbbbbbbbbbbbb |   17 |
|  93 |            ) |        RBraket |                                   ) |   17 |
|  94 |            ; |      Semicolon |                                   ; |   17 |
|  95 |              |     Identifier |                    _xxxxxxxxxxxxxxx |   18 |
|  96 |          <== |     Assignment |                                 <== |   18 |
|  97 |            ( |        LBraket |                                   ( |   18 |
|  98 |              |     Identifier |                    _aaaaaaaaaaaaaaa |   18 |
|  99 |          sub |    Subtraction |                                 sub |   18 |
| 100 |              |     Identifier |                    _bbbbbbbbbbbbbbb |   18 |
| 101 |            ) |        RBraket |                                   ) |   18 |
| 102 |            * | Multiplication |                                   * |   18 |
| 103 |              |         Number |                                  10 |   18 |
| 104 |          add |       Addition |                                 add |   18 |
| 105 |            ( |        LBraket |                                   ( |   18 |
| 106 |              |     Identifier |                    _aaaaaaaaaaaaaaa |   18 |
| 107 |          add |       Addition |                                 add |   18 |
| 108 |              |     Identifier |                    _bbbbbbbbbbbbbbb |   18 |
| 109 |            ) |        RBraket |                                   ) |   18 |
| 110 |            / |       Division |                                   / |   18 |
| 111 |              |         Number |                                  10 |   18 |
